Newspaper Name,Issue No,Date (mm/dd/yyyy),Content,Source,Image
The Pennsylvania Gazette (Philadelphia),1271,5/3/1753,"Run away on the 28th ult. from the subscriber, living Amwell, A Molatto man, named Boot, about 25 years of age, about 5 feet ten inches high, and has had the small pox: Had on when he went away, a light colour’d jacket, pretty ragged, and a mouse colour’d jacket under it, the skirts has been cut short, good buckskin breeches, with brass buttons, some of the tops of them are off, blue grey yam stockings, good shoes, and felt hat, tom in the brim. Whoever takes up said slave, and secures him, so that his master may have him again, shall have Forty Shillings reward, and if above 20 miles from home, Three Pounds, and all reasonable charges, paid by Thomas Hunt.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
"The New-York Gazette: or, The Weekly Post-Boy",542,6/18/1753,"Run away on Sunday the 3rd day of May last, from Jacobus Bruyne, of Bruynswick, in the county of Ulster and province of New York, a Negroe Man Slave, named Andrew, aged near 40 years, he is of middle Stature, black skin’d, speaks good English and Dutch: had on when he went away, a coarse Linnen jacket and Trowsers, old shoes and stockings, he has been formerly out a Privateering with Capt. Tingley, and it is supposed he may attempt to get on board some Vessel to go out; these are to forewarn all Masters of Vessels carrying him off at their peril. Whoever takes up and secures Said Negroe, so that his master may have him again, shall have Forty Shillings reward, and all reasonable Charges paid by JACOBUS BRUYNE.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
"The New-York Gazette: or, The Weekly Post-Boy",558,10/15/1753,"Run away on Sabbath Day evening, Sept. 2, 1753, from his Master Chauncy Graham, of Rumbout, in Dutchess County, a likely Negroe Man named Cuff, about 30 years old, well set, has had the Small Pox, is very black, speaks English pretty well for a Guinea Negroe, and very flippant; he is a plausible smooth Tongue Fellow. Had with him a pair of greenish plush breeches about two-thirds worn, and a Pair of russel ditto flowered green and yellow, two white shirts, two Pair of middling short Tow Trowsers, one pair of Thread Stockings knit in Squares, one Pair of blue fine wool ditto flowered, one Diaper Cap, one white Cotton ditto, one blue Broad Cloth Jacket with red lining, one blue homespun coat lined with streak’d Lindsey Woolsey, or woolen, &c. &c. &c. He is a strong Smoaker. ’Tis supposed he was seduced away by one Samuel Stanberry, alias Joseph Linley, a white fellow that run away with him, and ’tis very likely this white man has wrote the Negro a pass; for ’tis said he has been in Norwalk in Conecticut, and passed there for a free Negro, by the name of Joseph Jennings, and that he was making toward the Eastward. Whoever shall take up and secure said Servant, so that his Master may have him again, shall have FORTY SHILLINGS New-York Money Reward, and all reasonable charges paid by CHAUNCY GRAHAM. N.B. All Masters of Vessels are forbid to carry off said Servant, as they would not escape the utmost Rigour of the Law in that case made and provided.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
"The New-York Gazette: or, The Weekly Post-Boy",562,11/5/1753,"FORTY SHILLINGS Reward To be paid to any person who shall take up and return to the Subscriber, a Negro Slave, called Lewis, sometimes Lewis Francois. He lately belonged to Mr. Francis Philips, after that to Mr. Henry Cuyler, to whom he came not long since from Jamaica. He is about 5 feet 6 inches tall, very thin, talks English and French, walks very nimbly, and is quite black. Had on a white Linen shirt, brown Yarn Stockings, large square Brass Buckles on his shoes, a light brown cloth breeches, with Silk Knee Bands, a yellow Cloth Jacket, with double gilt buttons. He has been seen lurking about the Town, and is supposed to be harboured by W est-India Negroes of his Acquaintance. WILLIAM SMITH, jun.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
"The New-York Gazette: or, The Weekly Post-Boy",566,12/3/1753,"Run away the 12th Instant November, at night, from PATRICK MOTT, of Hempstead, on Long Island; a Mullato Fellow Named Tom, is about 30 years of age, and is a short well-set Fellow, about 5 feet and a H alf high, full fac’d, with black curl’d hair: Had on when he went away, a brown homespun Coat and jacket, a Pair of Leather Breeches, a Pair of Linnen Breeches, two shirts, one of white Linnen, and the other a check’d Woollen, an old Beaver or Castor Hat, speaks good English, and plays well on the violin. W hoever takes up said Mullato, and brings him to his Master, or secures him, so that he may have him again, shall have Three Pounds reward, and all reasonable Charges, paid by me PATRICK MOTT.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
"The New-York Gazette: or, The Weekly Post-Boy",567,12/10/1753,"Run away on the 28th Instant from the subscriber living at Newark Mountains, a Negroe Man named Bristol, about 5 feet 6 inches high, not very Black, was bred at the East End of Long-Islands, and lately belonged to David Ogden, Esq. at Newark: Had on when he went away, a grey Bearskin Watch-coat, a yellow Duroy tight bodies Coat, Leather Breeches, black and white speckled Yarn Stockings and a Hat about half-worn. Whoever takes up said Negroe of that his Master may have him again, shall have Forty Shillings Jersey Money and all reasonable charges. Joseph Heddin.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
"The New-York Gazette; or, The Weekly Post-Boy",580,3/11/1754,"Run away the 10th of January last, from John Wardell of Shrewsbury, a small Negro Fellow named Ash; he took with him a red Duffil Watch-coat, good bearskin Under-Coat, Camblet Jacket and Kersey Breeches with Brass Buckles on them. Whoever takes up and secures said Man, so that his Master may have him again, shall have Forty Shillings Reward and all reasonable charges paid, by John Wardell.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
"The New-York Gazette: or, The Weekly Post-Boy",583,4/1/1754,"Run away from George Mumford of Fisher’s-Island, the 27th Instant, four Men Servants, a white Man and Three Negroes, who hath taken a large two-mast Boat, with a square Stern, and a large white Pine Canoe; the Boat’s Timbers are chiefly red Cedar. The White Man named Joseph Heday, says he is a Native of Newark, in the Jerseys, a short well set fellow of a rudy complection; his cloathing when he went away was a red Whitney Great Coat, red and white flower’d Serge Jacket, a Swan-Skin strip’d ditto, lapell’d, a Pair of Leather Breeches, a Pair of Trowsers, old Shoes & ct. The Negroes are named Fortune, Venture and Isaac; Fortune is a tall, slim comely well spoken fellow, had on a Kersey Great Coat, three Kersey Jackets, and breeches of a dark colour, a new cloth coloured FlyCoat, with a red lining, a blue serge jacket, with red lining, a new Pair of Chocolate colour’d corded Drugges Breeches, a Pair of blue and white check’d trowsers, two pairs of shoes, one of them new, several Pair of Stockings, a Castor and a new felt hat. Venture had a Kersey dark colour’d Great Coat, three Kersey jackets, two pair of Breeches of the same, a new cloth coloured Fly-Coat, with red shaloon lining, a green ratteen Jacket almost new, a crimson birded stuff ditto, a pair of large Ozenbrigs Trowsers, a new felt hat, two pairs of shoes, one pair new, several pair of Stockings; he is a very tall fellow, 6 feet 2 inches high, thick square shoulders, large bon’d, mark’d in the face, or scar’d with a knife in his own country. Isaac is a Mustee, a short Fellow, seemingly clumsy and stiff in his Gate, bushy Head of Hair, sower Countenance, had on a Kersey Great Coat, Jacket and Breeches as aforesaid, a new cloth colour’d FlyCoat, with Lining, a Pair of Trowsers, of Guinea Cloth, a new Felt Hat, shoes and stockings as above. Stole and carried away with them, a Firkin of Butter, weighs about 60 pound, two Cheeses weighs 64 pounds, and Bread for the same. Whoever takes up and secures said Run-aways, so that their Master may have them again, shall have TWENTY POUNDS, New-York Currency, Reward and all reasonable charges paid, or equivalent for either of them; or secure the Boat, that the Owner may have her again, shall be well rewarded by GEORGE MUMFORD.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
"The New-York Gazette: or, The Weekly Post-Boy",585,4/15/1754,"Run away from the Subscriber, living at Piscataway 19th Day of February Last, a Negro fellow named Primus, of a yellow complexion, near six foot high, speaks good English: had on when he went away, a grey Jacket and Breeches, white stockings and good shoes. Whoever takes up and secures said Negro, so that his Master may have him again, shall receive three pounds reward, and all reasonable Charges, paid by John Martin.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The Pennsylvania Gazette (Philadelphia),1337,8/8/1754,"Runaway on the 28th of July last, from Derrick Aten of Readens Town, Hunterdon County, in New Jersey, a Negroe Man, named Jack, about 30 years of age, near five feet high, has a flat nose, much pock-marked, a lover of white women, and a great smoker: Had on when he went away, a red strait bodied coat, striped homespun jacket, and another whitish ditto. Whoever takes up and secures said Negroe so that his master may have him again, shall have Three Pounds Reward and reasonable charges paid by Derrick Aten.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
"The New-York Gazette: or, The Weekly Post-Boy",613,10/28/1754,"Runaway the 27th of September past from George Reyerse, of Pequanek, in the County of Bergen, a Negro man called Robin, of middle Stature, and about 40 years of age, not very Black, had on when he went away a white Homespun woolen Jacket, a pare of Leather Britches, no Shoes, an old Beaver Hatt, and had about Forty Shillings in money with him, as it is thought. W hoever takes up said Negro and secures him so that his Master may have him again, shall have Forty Shillings Reward, besides all reasonable costs and Charges paid by me George Reyerse.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
"The New-York Gazette: or, The Weekly Post-Boy",635,3/3/1755,"Run away from the Heirs of Barent Van Cleek, of Poughkeepsie, deceased on Tuesday the 23rd Instant March, a Mulatto colour’d Man Slave named Tom, pock-broken, about 5 feet 10 inches high, a well set likely Fellow, plays well on the Fiddle, and can read and write; perhaps he may have a false Pass: Had on when he went away, a red plush breeches, a full trim ’d Coat, a cloth Jacket, and it’s supposed several other clothes: took with him a bay Horse about 13 hands and a half high with a [ ] on his fore head, bridle and sadle: whoever takes up said Negroe, and delivers him to Poughkeepsie, or secures him in a gaol, and gives notice thereof to Leonard Van Cleek, or Myndert Veile, of Duchess County, shall receive five Pounds Reward, and all reasonable charges paid by LEONARD VAN CLEEK and MYNDERT VEILE.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
"The New-York Gazette: or, The Weekly Post-Boy",635,3/3/1755,"Run away the 21st Instant from Godfrey Mallbone Esq., and Capt. Robert Stoddard, two Mullato Fellows in Company with each other, named Jeremy and the other Anthony: the first mentioned carried with him, two blue Coats, turn’d up with red, and a Silver laced hat, with sundry other Clothes; one of his Hands is considerably less than the other; is supposed to be 21 years of age and five feet ten inches high. The other had on a darkish Bearskin coat, light cloth jacket and breeches, and a Blue jacket with Brass Buttons, a pair of red breeches, and a castor hat, with sundry other Clothes; about 18 years of age, supposed to be about 5 foot 8 inches high. Both speak good English. Whoever shall take up said Runaways, and bring them to their above mentioned Masters, shall have twenty Pounds Reward for each, and all necessary charges paid by GODFREY MALLBONE AND ROBERT STODDARD.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
"The New-York Gazette: or, The Weekly Post-Boy",647,6/23/1755,"A Mulatto Negro named Tom, Run away from Joseph Harris, of Beekman’s Precinct, in Duchess County, being the same Fellow formerly advertised, that then belonged to the Heirs of Barent Van Cleek, deceased and a reward offered by Mynder Viele and Leonard Van Cleek, who since sold him to said Harris; he went away on the first Instant, and had on a half worn Beaver Hat, a blue and white Cotton Cap, a greenish homespun Coat, a blue cloth Jacket, a white linnen Shirt: he took also with him a linen jacket and breeches, also a red plush breeches; he is lusty and well built, full of Freckles, talks English and Dutch, can read, write, and Cypher, play well on the Violin: Whoever takes up Said Negro, and secures him in any goal shall receive five Pounds, York Currency, and all reasonable charges paid, and if any takes extraordinary Trouble and secures him, an honourable allowance shall be further paid by Joseph Harris.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
"The New-York Gazette: or, The Weekly Post-Boy",650,8/10/1755,"Run away the 10th of this Instant from John Shepherd of Shrewsbury, a Mullatto Fellow called Tom, and who formerly belonged to Dr. Mills; he is of a middle size, with middling long hair and is 24 Years old. Had on when he went away a garey Homespun Jacket, an old Beaver Hat, Oznabrig Shirt, Buckskin Breeches and a Pair of old Shoes and Stockings. Whoever takes up and secures the said Mullato so that his Master may have him again, shall have Forty Shillings reward and reasonable charges paid by John Shepherd.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
"The New-York Gazette: or, The Weekly Post-Boy",653,9/1/1755,"Run away from Joseph Webb, of Wethersfield, on the 23rd day of June last, a Negro Servant man about 30 years of age, about 6 feet high, straight limbed and well set. Had on him when he went away, a pair of Deer Skin Breeches, with flat Metal buttons, and Straps on the knees: carried away a new pair of Tow Cloth Trousers, a check Woolen Shirt, a brown Jacket with the Sleeves partly off, and talks but poorly, and has a hole in each ear, and generally wears Pegs of wood in them; his Fore Teeth somewhat rotten, whoever takes up and secures the said negro, and conveys him to his said master at Weathersfield, or confines him in any of his masters gaols, shall have Five Dollars reward, and all reasonable charges paid by Joseph Webb.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
"The New-York Gazette: or, The Weekly Post-Boy",655,9/15/1755,"Run away from Samuel Fowler, living in Ulster county on the west side of Hudson’s River, near Newbourgh, a short well set Negro fellow, between 30 and 40 years of age, and halts a little with his Right leg. Had with him when he went away a good yellowish colour’d coat, double breasted, a blue Camblet Jacket, a pair of Tow Trousers, and a Pair of new shoes. Whoever takes him up and secures him so that his Master may have him again, shall have Three Pounds Reward and reasonable charges paid by Sam Fowler.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The New-York Gazette: or The Weekly Post-Boy,666,10/27/1755,"Run away from the subscriber, since Saturday the 4th instant, a negro man named Holliday, a likely fellow, middle siz’d, about 25 years of age: had on a homespun Kersey jacket, a felt hat and Shoes and Stockings; he is well known in this Town and is suppposed to be secreted by some of his Acquaintance. Whoever brings him to the subscriber shall have Twenty Shillings reward and all reasonable charges paid by John Willet.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
"The New-York Gazette; or, The Weekly Post-Boy",669,11/17/1755,"Run away on the 5th of November 1755, from Abraham Vandorn, of Freehold, in Monmouth County, in NewJersey, a negro man named Toney, about 5 feet 9 or 10 inches high, well set of a yellowish Colour, and flat Nose, has a Scar on his nose just by his Eye; had on when he went away, an old beaver Hat, a coarse Shirt, two Jackets, one brownish and the other stript without sleeves, a pair of trousers and half worn Shoes. Whoever takes up the said Negro and secures him so that his Mistress might have him again shall have Twenty Shillings reward and all reasonable charges payed by me, Anne Vandom, widow.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The New-York Gazette: or The Weekly Post-Boy,670,12/1/1755,"Run away from Lawrence Janse Van Buskerk, near Hackinsack, a negroe man who was lately advertised in the Mercury, named Aisop. He is of a middling size a round forehead a straight Nose and has a very guilty look: Had on when he went away, a grey Jacket and a green Jacket underneath it, a pair of stripped Trowsers and an old Beaver Hat; he is aged about 25 Years. W hoever takes up and secures said Negro so that his master may have him again shall have Forty Shillings and all reasonable charges, paid by Lawrense Janse Van Buskerk.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
"The New-York Gazette: or, The Weekly Post-Boy",673,12/15/1755,"Run away in this city on Friday the 10th instant, December, from Ezekial Ball, of Elizabeth Town Farms, a likely negro man, about 22 years of age is of middle Size, and long visag’d. Had on when he went away a new felt Hat, blue cloth Jacket without Buttons, Home spun shirt, old Leather Breeches with Trousers over them, brown Stockings and half worn Shoes. He pretends to be a free Man and formerly belonged to Mr. Thomas Grant in New-York. Whoever takes up the said negro and brings him to the workhouse in New York City, shall have three Dollars reward and all charges paid by Ezekial Ball.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
"The New-York Gazette: or, The Weekly Post-Boy",677,1/12/1756,"Run away on Thursday night the 8th instant of January from Mrs. Elizabeth Carpenter, a negro boy named Venture, has a remarkably surly Look, had on when he went away a blue W atch-Coat, a pair of Buckskin Breeches, a striped Waistcoat with Metal Buttons, a very dirty old homespun Shirt, a pair of mixed Hose, and a pair of large Buckles on his shoes. Whoever takes up the said negro and brings him to said Mrs. Elizabeth Carpenter shall have forty shillings together with all reasonable charges.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
"The New-York Gazette: or, The Weekly Post-Boy",683,2/16/1756,"Run away the 24th Day of January last, from Isaac Freeman, of the Township of Woodbridge, in East-New-Jersey, a middle-sized thick squat Negro Fellow named Caesar, aged about 22 years; Had on when he went away, a Wool-Hat, a double Worsted Cap, a Flannel Shirt, a red Broad Cloth Jacket, and a light- coloured cloudy-like Linnen and Woollen Jacket, and a Pair of white Leather Allom-dress’d SheepSkin Breeches; a pair of black and white Stockings, and half-worn Shoes with Buckles in them: ’Tis thought he has also with him, a Linsey-Woolsey Breeches of the same sort as the Jacket, and a coarse Linnen Shirt. Whoever takes up said Negro, and secures him, and give Notice, so that his Master may have him again, shall have Twenty Shillings Reward, or if he is brought home to his Master, Forty-Shillings Reward, and all reasonable Charges, paid by ISAAC FREEMAN.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
"The New-York Gazette: or, The Weekly Post-Boy",685,3/1/1756,"Run away on the 14th of February last, from Josiah Halsted, of Shrewsbury, Monmouth County, East-New-Jersey, a Servant Man named Johan Jeremiah Myer, about 5 feet 4 inches high, well set, something pitted with the Small Pox, speaks very broken English, pretends to be a Black-Smith, is about 21 Years of Age: had on when he went away, a Felt Hat, an old curled Wig or white Cap, a Garlix or Flannel Shirt, and a half-worn Bear-Skin Coat, and a long brown Jacket, with Cuff-Sleves; had with him a new striped Holland Vest, a Pair of black Plush, a Pair of Buckskin, and a Pair of Dimity Breeches, a Pair of Grey Worsted, and a Pair of Coarse Yam Stocking, and old shoes with Buckles. He has broke open his M aster’s Barr, and robb’d him of a considerable Sum of Money, It’s Suppos’d he went away with a Molatto Man named Tom, Belonging to John Sheppard of said Place, and formerly the Property of Doctor Mills. Whoever secures said Servant, so that his Master may have him again, shall have FIVE POUNDS Reward, and all reasonable Charges paid by me, JOSEPH HALSTEAD.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
"The New-York Gazette: or, The Weekly Post-Boy",690,4/5/1756,"Run away on Monday morning the 29th of March last, from Peter DeLancey, Esq., West Chester, a middle fixed mulatto negro called Hannibal, about 5 feet 8 inches high, sharp featured, and speaks very good english. Had on when he went away a homespun coat and 2 pairs of Breeches, 2 pairs of homespun stockings, 2 [ ] one homespun, the other Ozenbrigs [ ]. W hoever takes up the said negro and delivers him to Goal or York Work-House shall have a reward of forty shillings and all reasonable charges paid by Peter DeLancey.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
"The New-York Gazette: or, The Weekly Post-Boy",690,4/5/1756,"Run away from his master, Christopher Youngs of Southhold, on Friday the 26th instant, a mulatto slave named Caesar, about 24 years old, 5 feet 8 or 9 inches high, pretty well set, of a light Complexion, is sometimes taken for an Indian and has a large Mole under his left Eye. Had on when he went away a dark coloured Great Coat, leather breeches, a Body Coat of blue and white Colour, old shoes capt, a new Felt Hat, but Hair pretty short and straight. Whoever takes up and secures said Slave so that his master might have him again shall have a Forty Shillings reward and all reasonable charges paid by Christopher Young. N.B. All masters of vessels are forbidden to carry him off.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The Pennsylvania Gazette (Philadelphia),1425,4/15/1756,"Runaway from the subscriber living at Middletown, in EastNew-Jersey, the 9th of January last, a Negro man named Cato, alias Toby, aged about 30 years, a lusty well set fellow, full fac’d: Had on when he went away a plain-made Bear-skin coat, with flat Metal Buttons, a white woollen vest; wool hat and cap, a brown Tow Shirt, Buckskin Breeches, wool stockings, a pair of pumps with large brass buckles: he was branded when a boy in Jamaica, in the West Indies, with a B (and I think) C on his left shoulder blade; he is sly artful fellow and deceives the credulous by pretending to tell fortunes, and pretends to be free, speaks English as well as if country bom, and plays on the Fiddle; it is thought he is gone towards the Cedar Swamps, and that some base Person has given him a Pass. Whoever apprehends said slave, and secures him, so that his master may have him again, shall receive Forty Shillings reward and reasonable charges paid by Richard Stillwell.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
"The New-York Gazette: or, The Weekly Post-Boy",698,5/31/1756,"Runaway on Monday the 20th Instant from Dennis Hicks of this city, Shipwright, a likely Negro Lad of about 14 years old, a short chubby fellow, full faced: Had on a blue sailors jacket with a striped Homespun one under it, an old brown Cloth pair of Breeches, an old Hat and Cap. Whoever takes up and secures said Negro, in that he may be had again, shall have Twenty Shillings reward and charges paid by Dennis Hicks. N.B. He was seen on the Saturday following and is supposed to be still skulking in the town. All persons are forewarn’d to harbour him, or carry him off. His name is Pompey.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
"The New-York Gazette: or, The Weekly Post-Boy",699,6/14/1756,"Run away the 10th of May last, from the subscriber, then lodging at the Widow M arth’s, at Perth-Amboy, a Negro Man named Frank, a likely smooth-tongu’d Fellow, about five feet, five inches high, well-set and has lost two of his fore teeth: He had on a Great Coat, an old Jacket, Leather breeches, Old stockings and Shoes: ’Tis supposed he has plenty of Money, and will travel only in the Night: He has been run away a considerable time, was just taken up at a great Distance, and was upon the Road home, when he made his Escape again. He had his Wife with him at first, but two days after his escape his wife was taken in the Woods near Amboy, and himself seen, but got off, ’Tis likely he may change his Name, and pretend to be free. Whoever takes up the said Negro, and secures him so that he may be had again shall have FORTY SHILLINGS Reward, and all reasonable charges paid by the Widow Marth or the subscriber James Rowen.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
"The New-York Gazette: or, The Weekly Post-Boy",702,6/28/1756,"Run away the 20th day of June instant, 1756, from Henry Allen, of Great-Neck on Nassau Island, a mulatto fellow named Licum, aged about 24 years, and about 5 feet, 9 inches high, well set, walks stooping, with a down-look, and black curl’d hair: Had on when he went away, a felt hat about half worn, a brown Tow Shirt, and Tow trousers, a brown Jacket, with blue Worsted Lining, one shirt of Irish Linnen, and a Pair of half-worn brown broad-cloth breeches. Whoever takes up and secures said Fellow in any of his M ajesty’s Goals, so that his Master may have him again, shall have Forty Shillings Reward and all reasonable charges, by me HENRY ALLEN.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
"The New-York Gazette: or, The Weekly Post-Boy",703,7/5/1756,"Run away the 2d instant July, from John Decker, of Staten Island, a negro Man, being a short chubby fellow, with extraordinary bushy Hair, is barefoot, and has a Soldier’s red Great Coat on. Also ran away from the Widow Haughwout, of the said Island, a negro wench, of Middle Size, is with child, and speaks broken English, and has a bundle of Clothes with her. It is supposed they went together. Whoever takes up the said negro Man and Wench, and secures them so that they may be had again, shall have Forty Shillings Reward, and Charges paid by the Owners, John Decker, and Widow Haughwout.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
