Newspaper Name,Issue No,Date ,Content
"The New-York Gazette, Revived in The Weekly Post-Boy",350,10/2/1749,"RUN away on Monday the 25th of September last, from George Marple of Goshen Neck, Burlington County, in New-Jersey, a Spanish Mulatto Fellow, named George, about 26 Years of Age, middling Stature, well set, no Hair, speaks but indifferent English: Had on when he went away, a green Cloth Jacket about half worn, Beaver Hat, Check Shirt and Trowsers, light coloured Worsted Stockings, and old Shoes new soal’d, with large Brass Buckles, and is a Shoemaker by Trade: Took with him another Check Shirt, and two Silk Handerchiefs; he formerly belonged to Charles Reade, Esq; and has been a privateering; and ’tis likely may endeavor to get on board some Vessel; for which Reason all Masters are forewarned taking him on board at their Peril. W hoever takes up and secures said Fellow, so that his Master may have him again, shall have Forty Shillings Reward, and all reasonable Charges, paid by George Marple."
"The New-York Gazette, Revived in The Weekly Post-Boy",352,10/16/1749,"Run-away from Peter De Lancey, Saturday the 7th of October, inst. a Negro Man named Sam, of about 27 Years of Age: He is a tall Fellow, with thick Lips, has a flat Nose, is bow Legged and speaks English: Had on when he went away, a homespun Coat, and a short pair of Trowsers. Whoever takes up the said Fellow, or secures him so that his Master gets him again, shall have Thirty Shillings Reward; if taken out of the Government, Three Pounds, and all reasonable Charges, paid by Peter De Lancey"
"The New-York Gazette, Revived in The Weekly Post-Boy",353,10/23/1749,"Run-away from Adrian Ryersz, on Staten-Island, the 12th of October Inst, a Negro Man named Hector, speaks good English, is about five Foot six Inches high, well set, with a Scar on his left Hand, and has a down Look: Had on when he went away a good Beaver Hat, a blue Coat lin’d with light colour’d Shalloon, a white Jacket and Shirt, a good Pair of C alf Skin Shoes, and a blue Pair of Stockings.Whoever takes up and secures the said Negro, so that his Master may have him again, shall have Forty Shillings Reward, and all reasonable Charges paid by Adrian Ryersz."
"The New-York Gazette, Revived in The Weekly Post-Boy",378,4/16/1750,"Run-away on the 25th of March last, from James Banks, of Newark, in the County of Essex, an Irish Servant Man named Arthur Harvey, (formerly Servant to Solomon Comes of Staten-Island) is about 20 Years of Age, of short Stature, has a down Look, with short dark Hair: Had on a brown great Coat, and a Snuff coloured Pea Jacket. Also run away with him, a Negro Man about the same Age, has a long Face, strait Nose, of a middle Stature, and had on a good red great Coat, a Butter-nut coloured Coat and Jacket, with some other Cloaths besides and has taken with him a Gun. Likewise run off, a Lad named Nathaniel Ward, Son to Nathaniel Ward of Newark, is of tall Stature, aged about 16 Years, and has white Hair; Had on a light blue Camblet Coat, and a deep blue Frize Jacket. Whoever takes up and secures all or either of the said Persons, so that their respective Owners may have them again, shall have for each THREE POUNDS, and all reasonable Charges paid by James Banks, Jonathan Sergeant, and Nathaniel Ward."
"The New-York Gazette: or, The Weekly Post-Boy",380,4/30/1750,"RUN away from Thomas Day, of Hanover, a Negro Fellow, named Esop, who lately belonged to Jonathan Sergeant of Newark; he is of a middling Size, aged about 20 Years, long visag’d and a straight Nose: It is likely he had on a light blue Jacket and Leather Breeches. Whoever takes up and secures said Negro, so that his Master may have him again, shall have Three Pounds Reward, and all reasonable Charges, paid by THOMAS DAY"
The New-York Weekly Journal,867,8/6/1750,"Run away the 26th of this Instant from Mr. Joseph Shippen Iron Works formerly called Canby’s Iron works, two servant men and a Negroe man, the one of the white servants is named Philip Mugguire, a carpenter by trade, 4 feet 9 inches high, a likely fellow and a black beard. Had on when he went away an old bengall jacket without sleeves, a felt hatt, tow breeches, a check’d shirt, white stockings, new pumps with brass buckles. The said servant is supposed to have a quantity of Money with him. The other’s name is John Coffey of middle stature, had on when he went away an ozenbrigs shirt and trowsers, with a new linsey woolsey blue jacket, a felt hatt, good shoes with brass buckles. The above said Negroe had on a ozenbrig shirt and trowsers, a new linsey-woolsey jacket, a felt hat, good shoes with brass buckles, and handerchief; likewise the Negroe has stolen from his master a new broadcloth jacket of a lightish colour and a fine holland check’d shirt and trowsers, and a fine white shirt and two cambrick cravats and a pair of blewish white stockings. Whoever takes up the said servants and negroe man and secures them in any gaol, or brings them to the place aforesaid, shall have six pounds reward, and all reasonable charges, paid by us John Mills Alex Murray Richard Harris"
"The New-York Gazette, Revived in The Weekly Post-Boy",395,8/13/1750,"Run away on the 5th Day of August Inst, from Jacob Ford, of Morris-town and County, East-New-Jersey, a Negroe boy named Ishmael, aged about 16 Years, short and thick, full Fac’d, has a very large foot, bom in the Country, and has a sly Look: Had on when he went away a Flannel Jacket, dyed with Logwood of a purple colour, two woolen Shirts, one Tow shirt, and a Dowles Shirt, a new Felt Hat, Leather Breeches and Oznabrigs Trowsers. Whoever takes up and secures said Boy so that his Master may have him again, shall have Three Pounds Reward and all reasonable charges, paid by Jacob Ford. N.B. He went away with a Negro fellow already advertised by Shadreck Hatheway."
"The New-York Gazette, Revived in The Weekly Post-Boy",395,8/13/1750,"Run away about four weeks ago, from Simon Cregier of the City of New York, a Negro wench named Phoebe aged about 45 years, middle sized, and formerly belonged to Dr. Cornelius Van Wyck at Great Neck; she is well known at that part of Long Island, and about Flushing; she had a note with her to look for a master, but has not returned again; her cloaths uncertain. Whoever takes up and secures said Negro wench, so that her Master may have her again, shall have forty shillings reward and all reasonable charges paid by Simon Cregier."
"The New-York Gazette, Revived in The Weekly Post-Boy",401,9/24/1750,"Run away the 10th of September Inst, from John Cooper, of Elizabeth-Town in East-New-Jersey, a young Negroe Man, named Caesar, between twenty and twenty-five Years of Age, is small of stature, and speaks good English; he is almost as black as any in the land. Had on when he went away a grey Linsey Woolsey Waist-Coat, with one or two buttons on the Sleeve; a pair of Tow Trowsers and a Leather Jockey Cap instead of a Hat. Whoever takes up said Negro and delivers him to his said Master or to Obadiah Wells, Shop-Keeper in the Fly-M arket in New-York shall have Forty Shillings Reward and all reasonable charges paid by John Cooper."
"The New-York Gazette, Revived in The Weekly Post-Boy",403,10/8/1750,"Run away from Cornelia Rutgers of the City of New York, a Negro Man, called Hector, well-set, thick and of middle stature, thick lips and fatt; he formerly belonged to Mr. Newcome at Poughkeepsie in Dutchess County: it is supposed he had on when he went away, a light colour’d Kersey Pea Jacket, lined with red, an ozenbrig shirt and trowsers and shoes and stockings. Whoever takes up and secures the said Negro to his said Mistress, shall have thirty shillings reward, if taken with in the City and County of New York and if without the said County, three pounds reward and all reasonable charges paid by the said Cornelia Rutgers."
"The New-York Gazette, Revived in The Weekly Post-Boy",421,2/11/1751,"Run away on Sunday night, the 3rd Instant, from Judah Hays, a Negro Wench, named Sarah, aged about 30 Years; she is a likely Wench of a Mulatto complexion, was brought up at Amboy in Colonel Hamilton’s family, and has had several Masters in the Jerseys: She dresses very well, has a good Parcel of Cloathes and speaks good English. Whoever takes up said Wench, and brings her to her masters or secures her in any Country Gaol, so that he may have her again, shall receive Forty Shillings Reward and all reasonable charges. Whoever entertains said Wench shall be prosecuted to the utmost Rigour of the Law. All Masters of Vessels, Boat Men &ct, are forewarned of conveying said Wench away as they shall answer the same. Judah Hays. N.B. Said Wench has robb’d her said Master in apparel &ct upwards of fifty Pounds."
The Pennsylvania Gazette (Philadelphia),1169,5/9/1751,"Run-away in July last, from Nicolas Everson, living in EastNew-Jersey, two miles from Perth Amboy ferry, A Mullatto Negroe named Tom, about 37 Years of age, short, well-set, thick lips, flat-nose, black curled hair and can play well on the fiddle; Had on when he went away, a red-coloured watch-coat, without a cape, a brown coloured leather Jacket, a hat, blue and white twisted yarn leggings; speaks good English and Dutch, and is a good Shoemaker; his said master has been informed that he intends to cut off his watch-coat, to make him Indian stockings, and to cut off his hair, and get a blanket, to pass for an Indian; that he enquired for one John and Thomas Nutus, Indians at Susquehanna, and about the Moravians, and the way there.Whoever secures him in the nearest goal or otherwise, so that his Master may have him again, shall have Forty Shillings reward and reasonable charges paid by Nicolas Everson."
"The New-York Gazette, Revived in The Weekly Post-Boy",446,8/5/1751,"Run away the 30th Day of June last, from Philip Smith of the Fish Kills in Dutchess County, in the Province of NewYork, a Negro Fellow named Harry, aged about 20 years, of a short stature, well-set and very black: He had with him when he went away, one linnen shirt, two tow shirts, and a wollen shirt, a pair of Tow breeches and three pair of wollen stockings:—Whoever takes up and secures the said Negro so that his Master may have him again, shall have Thirty Shillings Reward, and all reasonable charges: And ’tis at their Peril who entertains him. Philip Smith."
"The New-York Gazette, Revived in The Weekly Post-Boy",451,9/9/1751,"Run away on the 3rd Instant, from John Willet of Hamstead Plains, a Negro Man named Holiday, a likely fellow, about 23 years of age, speaks good English: Had on when he went away, a whitish linnen coat with green cuffs, and a small cape to it; he is about 5 feet high and thin made. W hoever takes up said Fellow and secures him in the gaol at Jamaica, or the Work-house at New-York, or delivers him to said Willet, shall receive Twenty Shillings reward from John Willet."
"The New-York Gazette, Revived in The Weekly Post-Boy",461,11/18/1751,"RUN away from Thomas Van Wyck, of Oysterbay on Long-Island, the 8th of this Instant, a Negroe Man named Caesar, aged about 23 Years, a pretty black bold Face, with large whites in his Eyes, and may pretend to be free; his right Hand has been bruised, by which Means ’tis not so big as the other: Had on when he went away, a Felt Hat, white Wollen Cap, a grey Kersey Coat, a homespun Check Shirt, a pair of wide Trousers, [ ] Leather Breeches under them, bluish Stockings, and new shoes. Whoever takes up and secures said Negroe, so that his Master may have him again, shall have Forty Shillings Reward, and reasonable.Charges paid by THOMAS VAN WYCK."
"The New-York Gazette, Revived in The Weekly Post-Boy",461,11/18/1751,"RUN away from Elijah Bond, at Trentown, in West NewJersey, a Negro Man named Lott, about five Feet nine Inches high, a down Look, a well-set Lusty Fellow, about 24 Years of Age: Had on when he went away a red great Coat; his other cloaths are suppos’d to be chang’d, or wore out. He is supposed to be in Stamford, in New England. He went from Egg-Harbour in a Shingle-Shallop, or some other Vessel.—Whoever takes up the said Negro, and secures him so tha his Master may have him again, shall have THREE POUNDS Reward, by me, ELIJAH BOND."
"The New-York Gazette, Revived in The Weekly Post-Boy",467,12/30/1751,"New-York, 16th December, 1751. RUN away, from John Willet, of Flushing, a lusty yellow Wench, aged about 26 Years; She has lost the two first joints of one of her little Fingers, and has been gone about 18 months. If any Person will inform her Master where she is, so that he may have her again, they shall be well rewarded."
"Pennsylvania Journal, and the Weekly Advertiser (Philadelphia)",480,1/28/1752,"Run away from John Phillips of this City, 4th of May last, a Negroe man named Sampson, about 40 Years of age, a short well set Fellow, much pitted with the small pox. has a very old look, had one when he went away a blue fearnothing jacket, Ozenbrig shirt and Trowsers and an old Felt hat. He has made a practice of running away and sculking in the woods near plantations, he was taken up last Year and put in Amboy gaol. Whoever takes up and secures said Negroe so that his master may have him again shall have Five Pounds and reasonable charges paid by John Philips."
"The New-York Gazette, Revived in The Weekly Post-Boy",478,5/18/1752,"Run away, a Spanish Negro Man, named Tone, who lately belonged to William Lanen, of this city, Butcher, of a small stature, between 20 and 30 years of age, by Trade a butcher, but understands something of the Tayloring Business. W hoever takes up said Negro, and brings him to John Marston at Flushing, in Queen’s County, or to Whitehead Hicks at New York, (or secures him so that either of them do get him) shall be well rewarded and all reasonable charges paid. N.B. All Masters of Vessels are forewarned carrying him off, and whoever conceals him, may expect to be prosecuted with the utmost Rigour of the Law."
"The New-York Gazette, Revived in The Weekly Post-Boy",490,6/8/1752,"Run away last Saturday, a likely Mulatto fellow, named Crook, aged about 22, speaks French and English, pretends to be free; had on a brown home spun jacket, Homespun Shirt, a blue flowered Handerchief on his head, no Hat, and is barefoot. THIRTY SHILLINGS reward will be given for taking him up, or securing him in jail, paid by WILLIAM BAYARD."
"The New-York Gazette, Revived in The Weekly Post-Boy",492,6/12/1752,"Run away, on the 2nd of this Instant June from DANIEL LAWRENCE, of Flushing, on Long Island, a short thick Negro Fellow, named Anthony, with thick lips, is of a yellow Complexion, and plays on the Violin: Whoever takes up the said Negro, and secures him, so that his Master may have him again, and gives notice thereof to Ralph Hylton, of New York, shall be very handsomely rewarded for their trouble."
"The New-York Gazette, Revived in The Weekly Post-Boy",495,7/13/1752,"Run away, from Adrian Ryersz, of Staten Island, on the seventh of this Inst. July; a Negro man named Hector, about 5 feet 6 inches high, speaks good English, and has a scar on his left Hand near his little Finger; has taken with him, two Pair of Trowsers and one shirt: Whoever takes up said Negro, and secures him, so that his Master may have him again, shall have Forty Shillings reward, and all reasonable charges paid by ADRIAN RYERSZ."
"The New-York Gazette, Revived in The Weekly Post-Boy",509,10/30/1752,"Run away some time in August last, from ABRAHAM VAN BUSKIRK, of Bergen County in New Jersey, a Negro Man, named Jack, aged about 25 years, middle siz’d, and not very black, pretty thick Lips, speaks very slow, and talks both English and Dutch, and ’tis suppos’d he has a false Pass: Had on a grey homespun Linsey Wolsey Coat, red Linsey Wolsey jacket, a Tan shirt, and Linnen shirt; and has three Pairs of Breeche with him; white W oolen Stockings, and a Leather Hat. Whoever takes up said Negro, and secures him, so that his Master may have him again, shall have THREE POUNDS reward, and all reasonable charges paid by ABRAHAM VAN BUSKIRK."
"The New-York Gazette, Revived in The Weekly Post-Boy",509,10/30/1752,"Run away on the 15th of October, from David Kent, of W oodbridge in East-New-Jersey, A Negro Man named Caesar, a middling thick short Fellow, his right Foot twisting and the Toe of the same inclining to turn outward as he walks, and his right Knee bending inward towards the Left; He talks but poor English, and is about 22 years of age: Had on when he went away an old blue coat, a Felt Hat, a Homespun Linnen Shirt, a Pair of Tow-Cloth Trowsers, a Pair of old Stockings, and a pair of Shoes something too large for his feet. Whoever takes up said Negroe and brings him to his Master shall have Thirty Shillings reward and all reasonable Charges paid by David Kent."
"The New-York Gazette, Revived in The Weekly Post-Boy",510,11/6/1752,"Run away from Philip Livings[t]on, of New York, on the 28th of October last; a Negro Man, lately imported from Africa, his Hair or wool is curled in locks, in a very remarkable manner; he is a very likely lusty fellow, and cannot speak a word of English, or Dutch, or any other language but that of his own country. He was seen last Monday on New York Island, and is supposed now to be in the Woods near Harlem, whoever takes up said Fellow, and delivers him to his said master shall receive THREE POUNDS as a reward, from PHILIP LIVINGSTON."
"The New-York Gazette: or, The Weekly Post-Boy",519,1/8/1753,"Run away on the 26th of December last, from the Subscriber, living in Freehold, E. New Jersey, a Mulatto Servant Fellow, named Lawrence Smith, a short, thick, well-set Person, round shoulder’d, and a down look: Had on when he went away, a brown Coat and Jacket, the coat lin ’d with red Shalloon, and the Jacket with old grey Broadcloth, with flat white buttons to both, a pair of old Leather Breeches, grey Yam Stockings, old Ozenbrigs Shirt, and a check-linnen Shirt, a good pair of shoes, and a pair of Calf-skin pumps, and has taken away a good Beaver hat, wide brim ’d, a new brown Wigg, a Pair of Blue Sale Worsted stockings; he has also with him, an old Indenture, with his M other’s name to it, and his own, Mary Smith and Lawrence Smith, or their marks. Whoever takes up the said Servant and secures him, so that his master may have him again, shall have forty shillings reward, and all reasonable charges paid by me, JOHN THROCKMORTON."
"The New-York Gazette: or, The Weekly Post-Boy",534,4/23/1753,"Run away the 12th Instant A pril, from ISAAC KINGSLAND of Saddle River, in Bergen County, East New Jersey, a Negro Wench named Nell, who formerly belonged to Robert J. Livingston, Merchant in New York: she is a tall slim Wench, has three Diamonds in her face, one on each side and the other on her Forehead: had on and taken with her when she went away, three Petticoats, one is an old quilted one, and the other two homespun, one striped and the other mixed, a blue and white striped short gown, a bluish homespun Waistcoat, and an Ozenbrigs shirt, with Homespun sleeves, a short blue cloke, a new pair of Blue Stockings, a pair of old crooked shoes, and several other Things too tedious to mention. These are therefore to Forewarn all Masters of Vessels and others, of carrying off, concealing or harbouring said Wench, as they will answer it at their peril with the utmost Rigour of the Law. Whoever takes up the foremention’d Negroe, and secures her in any Goal, so that her master may have her again, shall have Forty Shillings reward, and all reasonable charges paid by ISAAC KINGSLAND."
The Pennsylvania Gazette (Philadelphia),1271,5/3/1753,"Run away on the 28th ult. from the subscriber, living Amwell, A Molatto man, named Boot, about 25 years of age, about 5 feet ten inches high, and has had the small pox: Had on when he went away, a light colour’d jacket, pretty ragged, and a mouse colour’d jacket under it, the skirts has been cut short, good buckskin breeches, with brass buttons, some of the tops of them are off, blue grey yam stockings, good shoes, and felt hat, tom in the brim. Whoever takes up said slave, and secures him, so that his master may have him again, shall have Forty Shillings reward, and if above 20 miles from home, Three Pounds, and all reasonable charges, paid by Thomas Hunt."
"The New-York Gazette: or, The Weekly Post-Boy",542,6/18/1753,"Run away on Sunday the 3rd day of May last, from Jacobus Bruyne, of Bruynswick, in the county of Ulster and province of New York, a Negroe Man Slave, named Andrew, aged near 40 years, he is of middle Stature, black skin’d, speaks good English and Dutch: had on when he went away, a coarse Linnen jacket and Trowsers, old shoes and stockings, he has been formerly out a Privateering with Capt. Tingley, and it is supposed he may attempt to get on board some Vessel to go out; these are to forewarn all Masters of Vessels carrying him off at their peril. Whoever takes up and secures Said Negroe, so that his master may have him again, shall have Forty Shillings reward, and all reasonable Charges paid by JACOBUS BRUYNE."
"The New-York Gazette: or, The Weekly Post-Boy",558,10/15/1753,"Run away on Sabbath Day evening, Sept. 2, 1753, from his Master Chauncy Graham, of Rumbout, in Dutchess County, a likely Negroe Man named Cuff, about 30 years old, well set, has had the Small Pox, is very black, speaks English pretty well for a Guinea Negroe, and very flippant; he is a plausible smooth Tongue Fellow. Had with him a pair of greenish plush breeches about two-thirds worn, and a Pair of russel ditto flowered green and yellow, two white shirts, two Pair of middling short Tow Trowsers, one pair of Thread Stockings knit in Squares, one Pair of blue fine wool ditto flowered, one Diaper Cap, one white Cotton ditto, one blue Broad Cloth Jacket with red lining, one blue homespun coat lined with streak’d Lindsey Woolsey, or woolen, &c. &c. &c. He is a strong Smoaker. ’Tis supposed he was seduced away by one Samuel Stanberry, alias Joseph Linley, a white fellow that run away with him, and ’tis very likely this white man has wrote the Negro a pass; for ’tis said he has been in Norwalk in Conecticut, and passed there for a free Negro, by the name of Joseph Jennings, and that he was making toward the Eastward. Whoever shall take up and secure said Servant, so that his Master may have him again, shall have FORTY SHILLINGS New-York Money Reward, and all reasonable charges paid by CHAUNCY GRAHAM. N.B. All Masters of Vessels are forbid to carry off said Servant, as they would not escape the utmost Rigour of the Law in that case made and provided."
"The New-York Gazette: or, The Weekly Post-Boy",562,11/5/1753,"FORTY SHILLINGS Reward To be paid to any person who shall take up and return to the Subscriber, a Negro Slave, called Lewis, sometimes Lewis Francois. He lately belonged to Mr. Francis Philips, after that to Mr. Henry Cuyler, to whom he came not long since from Jamaica. He is about 5 feet 6 inches tall, very thin, talks English and French, walks very nimbly, and is quite black. Had on a white Linen shirt, brown Yarn Stockings, large square Brass Buckles on his shoes, a light brown cloth breeches, with Silk Knee Bands, a yellow Cloth Jacket, with double gilt buttons. He has been seen lurking about the Town, and is supposed to be harboured by W est-India Negroes of his Acquaintance. WILLIAM SMITH, jun."
"The New-York Gazette: or, The Weekly Post-Boy",566,12/3/1753,"Run away the 12th Instant November, at night, from PATRICK MOTT, of Hempstead, on Long Island; a Mullato Fellow Named Tom, is about 30 years of age, and is a short well-set Fellow, about 5 feet and a H alf high, full fac’d, with black curl’d hair: Had on when he went away, a brown homespun Coat and jacket, a Pair of Leather Breeches, a Pair of Linnen Breeches, two shirts, one of white Linnen, and the other a check’d Woollen, an old Beaver or Castor Hat, speaks good English, and plays well on the violin. W hoever takes up said Mullato, and brings him to his Master, or secures him, so that he may have him again, shall have Three Pounds reward, and all reasonable Charges, paid by me PATRICK MOTT."
"The New-York Gazette: or, The Weekly Post-Boy",567,12/10/1753,"Run away on the 28th Instant from the subscriber living at Newark Mountains, a Negroe Man named Bristol, about 5 feet 6 inches high, not very Black, was bred at the East End of Long-Islands, and lately belonged to David Ogden, Esq. at Newark: Had on when he went away, a grey Bearskin Watch-coat, a yellow Duroy tight bodies Coat, Leather Breeches, black and white speckled Yarn Stockings and a Hat about half-worn. Whoever takes up said Negroe of that his Master may have him again, shall have Forty Shillings Jersey Money and all reasonable charges. Joseph Heddin."
"The New-York Gazette; or, The Weekly Post-Boy",580,3/11/1754,"Run away the 10th of January last, from John Wardell of Shrewsbury, a small Negro Fellow named Ash; he took with him a red Duffil Watch-coat, good bearskin Under-Coat, Camblet Jacket and Kersey Breeches with Brass Buckles on them. Whoever takes up and secures said Man, so that his Master may have him again, shall have Forty Shillings Reward and all reasonable charges paid, by John Wardell."
"The New-York Gazette: or, The Weekly Post-Boy",583,4/1/1754,"Run away from George Mumford of Fisher’s-Island, the 27th Instant, four Men Servants, a white Man and Three Negroes, who hath taken a large two-mast Boat, with a square Stern, and a large white Pine Canoe; the Boat’s Timbers are chiefly red Cedar. The White Man named Joseph Heday, says he is a Native of Newark, in the Jerseys, a short well set fellow of a rudy complection; his cloathing when he went away was a red Whitney Great Coat, red and white flower’d Serge Jacket, a Swan-Skin strip’d ditto, lapell’d, a Pair of Leather Breeches, a Pair of Trowsers, old Shoes & ct. The Negroes are named Fortune, Venture and Isaac; Fortune is a tall, slim comely well spoken fellow, had on a Kersey Great Coat, three Kersey Jackets, and breeches of a dark colour, a new cloth coloured FlyCoat, with a red lining, a blue serge jacket, with red lining, a new Pair of Chocolate colour’d corded Drugges Breeches, a Pair of blue and white check’d trowsers, two pairs of shoes, one of them new, several Pair of Stockings, a Castor and a new felt hat. Venture had a Kersey dark colour’d Great Coat, three Kersey jackets, two pair of Breeches of the same, a new cloth coloured Fly-Coat, with red shaloon lining, a green ratteen Jacket almost new, a crimson birded stuff ditto, a pair of large Ozenbrigs Trowsers, a new felt hat, two pairs of shoes, one pair new, several pair of Stockings; he is a very tall fellow, 6 feet 2 inches high, thick square shoulders, large bon’d, mark’d in the face, or scar’d with a knife in his own country. Isaac is a Mustee, a short Fellow, seemingly clumsy and stiff in his Gate, bushy Head of Hair, sower Countenance, had on a Kersey Great Coat, Jacket and Breeches as aforesaid, a new cloth colour’d FlyCoat, with Lining, a Pair of Trowsers, of Guinea Cloth, a new Felt Hat, shoes and stockings as above. Stole and carried away with them, a Firkin of Butter, weighs about 60 pound, two Cheeses weighs 64 pounds, and Bread for the same. Whoever takes up and secures said Run-aways, so that their Master may have them again, shall have TWENTY POUNDS, New-York Currency, Reward and all reasonable charges paid, or equivalent for either of them; or secure the Boat, that the Owner may have her again, shall be well rewarded by GEORGE MUMFORD."
"The New-York Gazette: or, The Weekly Post-Boy",585,4/15/1754,"Run away from the Subscriber, living at Piscataway 19th Day of February Last, a Negro fellow named Primus, of a yellow complexion, near six foot high, speaks good English: had on when he went away, a grey Jacket and Breeches, white stockings and good shoes. Whoever takes up and secures said Negro, so that his Master may have him again, shall receive three pounds reward, and all reasonable Charges, paid by John Martin."
The Pennsylvania Gazette (Philadelphia),1337,8/8/1754,"Runaway on the 28th of July last, from Derrick Aten of Readens Town, Hunterdon County, in New Jersey, a Negroe Man, named Jack, about 30 years of age, near five feet high, has a flat nose, much pock-marked, a lover of white women, and a great smoker: Had on when he went away, a red strait bodied coat, striped homespun jacket, and another whitish ditto. Whoever takes up and secures said Negroe so that his master may have him again, shall have Three Pounds Reward and reasonable charges paid by Derrick Aten."
"The New-York Gazette: or, The Weekly Post-Boy",613,10/28/1754,"Runaway the 27th of September past from George Reyerse, of Pequanek, in the County of Bergen, a Negro man called Robin, of middle Stature, and about 40 years of age, not very Black, had on when he went away a white Homespun woolen Jacket, a pare of Leather Britches, no Shoes, an old Beaver Hatt, and had about Forty Shillings in money with him, as it is thought. W hoever takes up said Negro and secures him so that his Master may have him again, shall have Forty Shillings Reward, besides all reasonable costs and Charges paid by me George Reyerse."
"The New-York Gazette: or, The Weekly Post-Boy",635,3/3/1755,"Run away from the Heirs of Barent Van Cleek, of Poughkeepsie, deceased on Tuesday the 23rd Instant March, a Mulatto colour’d Man Slave named Tom, pock-broken, about 5 feet 10 inches high, a well set likely Fellow, plays well on the Fiddle, and can read and write; perhaps he may have a false Pass: Had on when he went away, a red plush breeches, a full trim ’d Coat, a cloth Jacket, and it’s supposed several other clothes: took with him a bay Horse about 13 hands and a half high with a [ ] on his fore head, bridle and sadle: whoever takes up said Negroe, and delivers him to Poughkeepsie, or secures him in a gaol, and gives notice thereof to Leonard Van Cleek, or Myndert Veile, of Duchess County, shall receive five Pounds Reward, and all reasonable charges paid by LEONARD VAN CLEEK and MYNDERT VEILE."
"The New-York Gazette: or, The Weekly Post-Boy",635,3/3/1755,"Run away the 21st Instant from Godfrey Mallbone Esq., and Capt. Robert Stoddard, two Mullato Fellows in Company with each other, named Jeremy and the other Anthony: the first mentioned carried with him, two blue Coats, turn’d up with red, and a Silver laced hat, with sundry other Clothes; one of his Hands is considerably less than the other; is supposed to be 21 years of age and five feet ten inches high. The other had on a darkish Bearskin coat, light cloth jacket and breeches, and a Blue jacket with Brass Buttons, a pair of red breeches, and a castor hat, with sundry other Clothes; about 18 years of age, supposed to be about 5 foot 8 inches high. Both speak good English. Whoever shall take up said Runaways, and bring them to their above mentioned Masters, shall have twenty Pounds Reward for each, and all necessary charges paid by GODFREY MALLBONE AND ROBERT STODDARD."
"The New-York Gazette: or, The Weekly Post-Boy",647,6/23/1755,"A Mulatto Negro named Tom, Run away from Joseph Harris, of Beekman’s Precinct, in Duchess County, being the same Fellow formerly advertised, that then belonged to the Heirs of Barent Van Cleek, deceased and a reward offered by Mynder Viele and Leonard Van Cleek, who since sold him to said Harris; he went away on the first Instant, and had on a half worn Beaver Hat, a blue and white Cotton Cap, a greenish homespun Coat, a blue cloth Jacket, a white linnen Shirt: he took also with him a linen jacket and breeches, also a red plush breeches; he is lusty and well built, full of Freckles, talks English and Dutch, can read, write, and Cypher, play well on the Violin: Whoever takes up Said Negro, and secures him in any goal shall receive five Pounds, York Currency, and all reasonable charges paid, and if any takes extraordinary Trouble and secures him, an honourable allowance shall be further paid by Joseph Harris."
"The New-York Gazette: or, The Weekly Post-Boy",650,8/10/1755,"Run away the 10th of this Instant from John Shepherd of Shrewsbury, a Mullatto Fellow called Tom, and who formerly belonged to Dr. Mills; he is of a middle size, with middling long hair and is 24 Years old. Had on when he went away a garey Homespun Jacket, an old Beaver Hat, Oznabrig Shirt, Buckskin Breeches and a Pair of old Shoes and Stockings. Whoever takes up and secures the said Mullato so that his Master may have him again, shall have Forty Shillings reward and reasonable charges paid by John Shepherd."
"The New-York Gazette: or, The Weekly Post-Boy",653,9/1/1755,"Run away from Joseph Webb, of Wethersfield, on the 23rd day of June last, a Negro Servant man about 30 years of age, about 6 feet high, straight limbed and well set. Had on him when he went away, a pair of Deer Skin Breeches, with flat Metal buttons, and Straps on the knees: carried away a new pair of Tow Cloth Trousers, a check Woolen Shirt, a brown Jacket with the Sleeves partly off, and talks but poorly, and has a hole in each ear, and generally wears Pegs of wood in them; his Fore Teeth somewhat rotten, whoever takes up and secures the said negro, and conveys him to his said master at Weathersfield, or confines him in any of his masters gaols, shall have Five Dollars reward, and all reasonable charges paid by Joseph Webb."
"The New-York Gazette: or, The Weekly Post-Boy",655,9/15/1755,"Run away from Samuel Fowler, living in Ulster county on the west side of Hudson’s River, near Newbourgh, a short well set Negro fellow, between 30 and 40 years of age, and halts a little with his Right leg. Had with him when he went away a good yellowish colour’d coat, double breasted, a blue Camblet Jacket, a pair of Tow Trousers, and a Pair of new shoes. Whoever takes him up and secures him so that his Master may have him again, shall have Three Pounds Reward and reasonable charges paid by Sam Fowler."
The New-York Gazette: or The Weekly Post-Boy,666,10/27/1755,"Run away from the subscriber, since Saturday the 4th instant, a negro man named Holliday, a likely fellow, middle siz’d, about 25 years of age: had on a homespun Kersey jacket, a felt hat and Shoes and Stockings; he is well known in this Town and is suppposed to be secreted by some of his Acquaintance. Whoever brings him to the subscriber shall have Twenty Shillings reward and all reasonable charges paid by John Willet."
